x,nDxFemale,nKxFemale,nDxMale,nKxMale,nDxTotal,nKxTotal
0,33,5328,38.66666667,5415,71.66666667,10743
1,6.333333333,20638,14,21671,20.33333333,42309
5,3,26101,4.333333333,28042,7.333333333,54143
10,4,24801,6,26127,10,50928
15,14,22927,24.66666667,25230,38.66666667,48157
20,22.33333333,24084,62,28850,84.33333333,52934
25,31.33333333,27673,71.33333333,30529,102.6666667,58202
30,30,27397,63,29539,93,56936
35,29,23086,59.66666667,24739,88.66666667,47825
40,41.33333333,21233,71.33333333,22737,112.6666667,43970
45,67,21942,97.66666667,23343,164.6666667,45285
50,99.66666667,25186,164,27381,263.6666667,52567
55,149,25717,240.6666667,27397,389.6666667,53114
60,149.3333333,21768,264.3333333,23796,413.6666667,45564
65,163.3333333,14861,258.6666667,16611,422,31472
70,175,9337,254,9741,429,19078
75,172.6666667,5668,236.3333333,5490,409,11158
80,204.6666667,3862,239,3146,443.6666667,7008
85,442,3814,320,2260,762,6074
