x,nDxFemale,nKxFemale,nDxMale,nKxMale,nDxTotal,nKxTotal
0,33,5328,38.66666667,5415,71.66666667,10743
1,3,5214,4,5264,7,10478
2,1,5085,3.333333333,5538,4.333333333,10623
3,1.666666667,5104,3,5237,4.666666667,10341
4,0.666666667,5235,3.666666667,5632,4.333333333,10867
5,0.666666667,5325,1.666666667,5557,2.333333333,10882
6,0.333333333,5230,1,5740,1.333333333,10970
7,0.333333333,5280,1,5663,1.333333333,10943
8,1,5292,0.666666667,5727,1.666666667,11019
9,0.666666667,4974,0,5355,0.666666667,10329
10,1,5088,1.333333333,5366,2.333333333,10454
11,0.666666667,5033,0.333333333,5154,1,10187
12,0,4880,1.333333333,5152,1.333333333,10032
13,0.333333333,4912,1.666666667,5062,2,9974
14,2,4888,1.333333333,5393,3.333333333,10281
15,1.333333333,4927,3.333333333,5322,4.666666667,10249
16,2.333333333,4812,3.333333333,5317,5.666666667,10129
17,1.333333333,4723,3.666666667,5052,5,9775
18,3.666666667,4484,5.666666667,4963,9.333333333,9447
19,5.333333333,3981,8.666666667,4576,14,8557
20,3.666666667,4274,8.333333333,5113,12,9387
21,3.333333333,4435,11.66666667,5500,15,9935
22,5.333333333,4771,11.33333333,5860,16.66666667,10631
23,6,5288,14,5883,20,11171
24,4,5316,16.66666667,6494,20.66666667,11810
25,7.333333333,5702,14.66666667,6553,22,12255
26,5,5436,17.33333333,6045,22.33333333,11481
27,6.666666667,5565,11.33333333,5779,18,11344
28,6.333333333,5390,14,6019,20.33333333,11409
29,6,5580,14,6133,20,11713
30,7.666666667,5843,13,6377,20.66666667,12220
31,5.666666667,5458,12,5793,17.66666667,11251
32,4.333333333,5638,14.33333333,6148,18.66666667,11786
33,5,5360,11.66666667,5611,16.66666667,10971
34,7.333333333,5098,12,5610,19.33333333,10708
35,4,5202,7.666666667,5614,11.66666667,10816
36,8,4619,13.66666667,4980,21.66666667,9599
37,4,4541,12.33333333,4842,16.33333333,9383
38,6.666666667,4535,13.33333333,4808,20,9343
39,6.333333333,4189,12.66666667,4495,19,8684
40,8.333333333,4462,11,4687,19.33333333,9149
41,6,3999,13.33333333,4261,19.33333333,8260
42,7.666666667,4148,15,4424,22.66666667,8572
43,10.33333333,4198,17,4508,27.33333333,8706
44,9,4426,15,4857,24,9283
45,12.33333333,4683,19.33333333,4958,31.66666667,9641
46,12.66666667,4277,13.33333333,4740,26,9017
47,10.33333333,4154,18.33333333,4430,28.66666667,8584
48,15.66666667,4275,23,4540,38.66666667,8815
49,16,4553,23.66666667,4675,39.66666667,9228
50,13.33333333,4784,28.66666667,5399,42,10183
51,17.66666667,4809,36.33333333,5191,54,10000
52,21,5123,29,5621,50,10744
53,23.66666667,5179,36,5500,59.66666667,10679
54,24,5291,34,5670,58,10961
55,26.66666667,5262,47.33333333,5933,74,11195
56,30.66666667,5127,47,5303,77.66666667,10430
57,25,5183,48.33333333,5489,73.33333333,10672
58,32.33333333,5127,45.33333333,5403,77.66666667,10530
59,34.33333333,5018,52.66666667,5269,87,10287
60,25.33333333,5059,49.66666667,5410,75,10469
61,35,4536,51.33333333,5095,86.33333333,9631
62,29.66666667,4425,56.66666667,5024,86.33333333,9449
63,25.66666667,4008,54.66666667,4253,80.33333333,8261
64,33.66666667,3740,52,4014,85.66666667,7754
65,32.66666667,3480,52.33333333,4047,85,7527
66,30.33333333,3218,56.33333333,3574,86.66666667,6792
67,32,2914,48.66666667,3258,80.66666667,6172
68,38,3015,51,3359,89,6374
69,30.33333333,2234,50.33333333,2373,80.66666667,4607
70,34.33333333,2236,56,2351,90.33333333,4587
71,36,2077,48.66666667,2156,84.66666667,4233
72,31.66666667,1865,54.66666667,2056,86.33333333,3921
73,43.66666667,1671,44.33333333,1631,88,3302
74,29.33333333,1488,50.33333333,1547,79.66666667,3035
75,35.33333333,1338,49.66666667,1321,85,2659
76,35.66666667,1172,46.66666667,1201,82.33333333,2373
77,33.66666667,1140,42,1096,75.66666667,2236
78,32.33333333,1052,45.66666667,943,78,1995
79,35.66666667,966,52.33333333,929,88,1895
80,36.33333333,889,50.66666667,840,87,1729
81,33,849,45.33333333,706,78.33333333,1555
82,45,781,47.66666667,577,92.66666667,1358
83,44.33333333,700,47.66666667,551,92,1251
84,46,643,47.66666667,472,93.66666667,1115
85,43.33333333,641,40.66666667,427,84,1068
86,43.66666667,551,39,378,82.66666667,929
87,42.66666667,445,40.66666667,289,83.33333333,734
88,39.33333333,370,33,255,72.33333333,625
89,37,378,29.33333333,206,66.33333333,584
90,236,1429,137.3333333,705,373.3333333,2134
