"x","nax","nmx","nqx","lx","ndx","nLx","Tx","ex"
0,0.0821391197301939,0.00714065866481994,0.00709416259209811,1,0.00709416259209811,0.99348854567844,76.0367966510659,76.0367966510659
1,1.5,0.000646024641225601,0.00257993181608772,0.992905837407902,0.00256162936030786,3.96521927623084,75.0433081053875,75.5794812338871
5,2.5,0.000154530109585622,0.000772352168764913,0.990344208047594,0.000764894496909329,4.9498088039957,71.0780888291566,71.771095596432
10,2.5,0.00022964749110116,0.00114757860913473,0.989579313550685,0.00113562005227299,4.94505751762274,66.1282800251609,66.8246386314278
15,2.5,0.000977672083630598,0.00487644151630811,0.988443693498412,0.00482008786350859,4.93016824783329,61.1832225075382,61.8985410195614
20,2.5,0.00214904679376083,0.01068781244613,0.983623605634903,0.010512784614612,4.89183606663799,56.2530542597049,57.189613931027
25,2.5,0.00233657615152806,0.0116150322393162,0.973110821020291,0.0113027135585782,4.83729732120501,51.3612181930669,52.780440915471
30,2.5,0.00213277362131419,0.0106073106258313,0.961808107461713,0.0102021973582893,4.78353504391284,46.5239208718619,48.3713128543304
35,2.5,0.00241184634261692,0.0119869549792699,0.951605910103424,0.0114068572024169,4.72951240751108,41.7403858279491,43.8631006646571
40,2.5,0.00313732389189427,0.0155645419362638,0.940199052901007,0.0146337675873132,4.66441084553675,37.010873420438,39.3649337406159
45,2.5,0.00418398092233218,0.0207033485730162,0.925565285313694,0.0191623007289325,4.57992067474614,32.3464625749012,34.9477914612348
50,2.5,0.00598955480077426,0.0295059551653413,0.906402984584761,0.0267442858248895,4.46515420836158,27.7665419001551,30.6337714817603
55,2.5,0.00878441678650947,0.0429782370647323,0.879658698759871,0.0378061800913557,4.30377804357097,23.3013876917935,26.4891232527382
60,2.5,0.0111083095184065,0.0540407929551183,0.841852518668516,0.0454943776601101,4.0955266491923,18.9976096482226,22.5664344133215
65,2.5,0.0155720105171272,0.0749425376254276,0.796358141008406,0.059681099945838,3.83258795517743,14.9020829990303,18.7127904288894
70,2.5,0.0260753516066112,0.122397841171935,0.736677041062568,0.0901676794669874,3.45796600664537,11.0694950438528,15.0262522473707
75,2.5,0.043047965992714,0.194326435496702,0.64650936159558,0.125633859754117,2.91846215859261,7.61152903720745,11.7732696374609
80,2.5,0.0759694850603942,0.319219981300922,0.520875501841463,0.16627386795794,2.18869283931246,4.69306687861485,9.00995892880994
85,7.0625,0.141592920353982,1,0.354601633883523,0.354601633883523,2.50437403930238,2.50437403930238,7.0625
